Date	Price	Open	High	Low
"Jul 28, 2014"	"1,304.25"	"1,307.99"	"1,309.46"	"1,301.16"
"Jul 25, 2014"	"1,308.05"	"1,293.74"	"1,308.50"	"1,289.90"
"Jul 24, 2014"	"1,293.35"	"1,303.79"	"1,305.35"	"1,287.46"
"Jul 23, 2014"	"1,304.15"	"1,307.39"	"1,311.31"	"1,302.30"
"Jul 22, 2014"	"1,307.35"	"1,311.54"	"1,315.20"	"1,301.40"
"Jul 21, 2014"	"1,311.90"	"1,310.74"	"1,318.51"	"1,306.70"
"Jul 18, 2014"	"1,310.90"	"1,318.39"	"1,324.75"	"1,304.26"
"Jul 17, 2014"	"1,318.25"	"1,299.29"	"1,324.65"	"1,296.90"
"Jul 16, 2014"	"1,299.37"	"1,293.90"	"1,304.40"	"1,292.40"
"Jul 15, 2014"	"1,294.45"	"1,306.50"	"1,314.25"	"1,291.70"
"Jul 14, 2014"	"1,307.15"	"1,338.14"	"1,339.71"	"1,302.90"
"Jul 11, 2014"	"1,338.15"	"1,335.50"	"1,339.54"	"1,333.56"
"Jul 10, 2014"	"1,335.55"	"1,318.69"	"1,345.65"	"1,318.69"
"Jul 09, 2014"	"1,326.70"	"1,318.59"	"1,332.69"	"1,317.40"
"Jul 08, 2014"	"1,318.95"	"1,319.40"	"1,325.35"	"1,313.10"
"Jul 07, 2014"	"1,320.20"	"1,319.85"	"1,320.30"	"1,311.59"
"Jul 04, 2014"	"1,320.55"	"1,319.79"	"1,323.80"	"1,318.30"
"Jul 03, 2014"	"1,319.80"	"1,327.39"	"1,327.70"	"1,309.64"
"Jul 02, 2014"	"1,327.45"	"1,325.27"	"1,332.21"	"1,321.01"
